restaurant_id,item_name,price_usd,is_vegetarian
9000000000,Veggie Supreme Pizza,23.2,TRUE
9000000000,Tonkotsu Pork Ramen,22.02,FALSE
9000000000,Paneer Tikka Pizza,20.5,TRUE
9000000000,Beef Taco,11.7,FALSE
9000000000,Grilled Mushroom Steak,20.54,TRUE
9000000001,Grilled Cheese Sandwich,18.9,TRUE
9000000001,Grilled Veggie Taco,28.03,TRUE
9000000001,Curry,20.68,TRUE
9000000002,Sushi,30.58,TRUE
9000000002,Burrito,33.06,TRUE
9000000002,Tuna Salad,17.14,FALSE
9000000002,Shrimp Scampi,25.55,FALSE
9000000002,Sausage Pizza,12.64,FALSE
9000000002,Miso Veg Ramen,13.37,TRUE
9000000003,Tonkotsu Pork Ramen,19.08,FALSE
9000000003,Chicken BBQ Pizza,10.16,FALSE
9000000003,Chicken Burger,15.86,FALSE
9000000004,Veg Club Sandwich,17.79,TRUE
9000000004,Sushi,21.07,FALSE
9000000004,Margherita Pizza,28.75,TRUE
9000000005,Shrimp Scampi,26.3,FALSE
9000000005,Chicken Alfredo Pasta,14.11,FALSE
9000000005,Chicken Caesar Salad,17.88,FALSE
9000000006,Beef Taco,25.4,FALSE
9000000006,Burrito,13.88,TRUE
9000000006,Ribeye Steak,25.2,FALSE
9000000006,Grilled Veggie Taco,14.88,TRUE
9000000007,Chicken BBQ Pizza,34.48,FALSE
9000000007,Caesar Salad,26.6,TRUE
9000000007,Tuna Salad,29.35,FALSE
9000000007,Beef Burger,12.12,FALSE
9000000007,Quinoa Salad,27.37,TRUE
9000000007,Greek Salad,19.27,TRUE
9000000008,Wrap,30.42,FALSE
9000000008,Burrito,22.79,TRUE
9000000008,T-Bone Steak,5.6,FALSE
9000000008,Meatball Pasta,26.16,FALSE
9000000008,Caesar Salad,7.74,TRUE
9000000008,Ribeye Steak,34.3,FALSE
9000000009,Arrabbiata Pasta,5.53,TRUE
9000000009,Grilled Veggie Taco,29.96,TRUE
9000000009,Wrap,32.83,FALSE
9000000009,Ribeye Steak,9.27,FALSE
9000000009,Shoyu Chicken Ramen,11.41,FALSE
9000000010,Sushi,28.44,TRUE
9000000010,Paneer Tikka Pizza,23.7,TRUE
9000000010,Pesto Pasta,5.37,TRUE
9000000010,Wrap,29.95,FALSE
9000000010,Arrabbiata Pasta,20.03,TRUE
9000000011,Burrito,13.93,FALSE
9000000011,Wrap,10.26,TRUE
9000000011,Veggie Burger,25.64,TRUE
9000000011,Burrito,16.36,FALSE
9000000011,Sushi,15.8,TRUE
9000000012,Grilled Mushroom Steak,32.14,TRUE
9000000012,Chicken Caesar Salad,18.49,FALSE
9000000012,Burrito,8.25,TRUE
9000000012,Sirloin Steak,5.43,FALSE
9000000012,Veggie Steak,10.31,TRUE
9000000013,Margherita Pizza,20.89,TRUE
9000000013,T-Bone Steak,34.63,FALSE
9000000013,Arrabbiata Pasta,19.15,TRUE
9000000014,Wrap,30.47,FALSE
9000000014,Prawns Taco,8.19,FALSE
9000000014,Tuna Salad,28.31,FALSE
9000000014,Turkey Sandwich,32.1,FALSE
9000000014,Shoyu Chicken Ramen,29.09,FALSE
9000000014,Arrabbiata Pasta,33.07,TRUE
9000000015,Curry,7.49,FALSE
9000000015,Veggie Supreme Pizza,21.55,TRUE
9000000015,Wrap,20.1,FALSE
9000000015,Sushi,6.49,FALSE
9000000015,Shoyu Chicken Ramen,23.17,FALSE
9000000016,Sushi,6.74,TRUE
9000000016,Curry,26.57,TRUE
9000000016,Chicken BLT,32.31,FALSE
9000000016,Wrap,32.76,FALSE
9000000017,Beef Burger,28.99,FALSE
9000000017,Veg Club Sandwich,32.05,TRUE
9000000017,Curry,5.38,FALSE
9000000017,Tonkotsu Pork Ramen,11.05,FALSE
9000000017,Curry,31.05,TRUE
9000000017,Turkey Sandwich,11.13,FALSE
9000000018,Chicken Alfredo Pasta,15.16,FALSE
9000000018,Burrito,7.9,FALSE
9000000018,Veggie Steak,28.04,TRUE
9000000018,Chicken BLT,8.33,FALSE
9000000018,Grilled Cheese Sandwich,27.27,TRUE
9000000019,Veg Club Sandwich,34.46,TRUE
9000000019,Arrabbiata Pasta,11.6,TRUE
9000000019,Spicy Veg Ramen,24.42,TRUE
9000000019,Curry,22.76,TRUE
9000000019,Veggie Steak,27.54,TRUE
9000000019,Grilled Veggie Taco,5.43,TRUE
9000000020,Wrap,16.73,FALSE
9000000020,Grilled Mushroom Steak,12,TRUE
9000000020,Tonkotsu Pork Ramen,30.97,FALSE
9000000020,Wrap,33.32,TRUE
9000000021,Black Bean Burger,26.43,TRUE
9000000021,Miso Veg Ramen,20.48,TRUE
9000000021,Curry,5.54,FALSE
9000000021,Chicken BLT,34.42,FALSE
9000000021,Burrito,34.72,TRUE
9000000021,T-Bone Steak,33.87,FALSE
9000000022,Curry,16.22,FALSE
9000000022,Greek Salad,17.4,TRUE
9000000022,Veggie Supreme Pizza,29.31,TRUE
9000000022,Sirloin Steak,33.1,FALSE
9000000022,Meatball Pasta,33.8,FALSE
9000000023,Burrito,33.01,TRUE
9000000023,Ribeye Steak,32.96,FALSE
9000000023,Spicy Beef Ramen,19.75,FALSE
9000000023,Vegetable Alfredo,23.47,TRUE
9000000023,Burrito,33.54,TRUE
9000000024,Curry,15.48,TRUE
9000000024,Vegetable Alfredo,13.33,TRUE
9000000024,Chicken BLT,7.72,FALSE
9000000025,Grilled Veggie Taco,13.86,TRUE
9000000025,Tofu Steak,16.25,TRUE
9000000025,Wrap,22.79,TRUE
